data_index,contribution_score
0,1.4970164
1,1.512706
2,2.2331488
3,2.3493505
4,2.3030949
5,2.1169891
6,2.2118874
7,2.3640711
8,2.1471484
9,2.2569013
10,2.3026571
11,2.1996489
12,2.6211312
13,1.4772533
14,2.0635812
15,2.3256571
16,1.8805733
17,2.269235
18,2.225709
19,2.2226791
20,2.350683
21,1.5166547
22,2.3279924
23,2.383775
24,-0.18743587
25,1.8922292
26,2.2270966
27,2.379469
28,2.1355038
29,1.5750269
30,2.6599147
31,2.3732665
32,2.0252047
33,2.424986
34,1.550241
35,2.0427878
36,1.7800063
37,1.8503357
38,2.4219115
39,0.8380977
40,1.9760768
41,2.3337514
42,2.097414
43,2.362136
44,2.4933057
45,1.8727071
46,1.8794012
47,2.3260014
48,1.1873847
49,2.0849986
50,2.3010523
51,1.7663331
52,2.240348
53,1.2136589
54,1.6338611
55,2.0850053
56,1.5710838
57,2.0373082
58,2.249699
59,2.1969256
60,2.3626873
61,2.0553067
62,2.025206
63,1.484258
64,2.3417602
65,2.1100028
66,1.9473469
67,2.0780451
68,1.2815089
69,1.8121942
70,2.1837723
71,1.9144784
72,2.1069787
73,2.0082235
74,2.4896433
75,1.610534
76,1.9928534
77,2.315925
78,2.3585033
79,1.9459462
80,1.051803
81,1.6618083
82,2.1251118
83,2.1967883
84,2.0383139
85,1.8887568
86,2.646162
87,2.2151685
88,1.5791925
89,2.352724
90,1.9925882
91,2.342665
92,2.1703916
93,1.3321395
94,2.0086594
95,1.8085375
96,2.072889
97,2.1050727
98,2.3828552
99,2.4149349
100,1.4639292
101,2.2346368
102,2.155087
103,2.1622102
104,2.1595962
105,2.1469722
106,2.3751845
107,2.209883
108,1.5155282
109,2.3555398
110,2.5128667
111,2.6129289
112,1.9172114
113,2.2980008
114,1.6722059
115,2.26631
116,2.1379776
117,1.0049356
118,1.5200138
119,1.7519957
120,1.6447998
121,1.6724153
122,1.9276501
123,2.3561623
124,2.139476
125,2.1689467
126,2.2096455
127,2.1203945
128,2.2586915
129,1.7045026
130,2.3564363
131,2.353817
132,0.99148965
133,2.1803365
134,1.8460913
135,2.215879
136,2.4801326
137,2.0977082
138,1.7817838
139,2.1685734
140,1.7494205
141,1.4109743
142,2.1968071
143,1.4535662
144,2.0292213
145,2.1794186
146,0.9759144
147,1.9601126
148,1.1224071
149,2.2393365
150,2.0511646
151,1.8885204
152,2.0290346
153,2.349957
154,2.3368957
155,1.9507242
156,1.5706421
157,2.2908847
158,1.9057376
159,1.8058044
160,2.037988
161,2.0767074
162,2.0910692
163,2.230598
