data_index,contribution_score
0,1.9582391
1,2.2151103
2,2.2973638
3,2.285206
4,1.9886968
5,2.1597261
6,2.4432886
7,2.0497236
8,2.0933185
9,2.0550425
10,2.056531
11,2.2411618
12,2.30003
13,1.4847676
14,2.0549688
15,2.3160744
16,1.9166255
17,2.108238
18,1.3941216
19,2.3296478
20,2.4429398
21,2.2853699
22,1.9844422
23,2.31494
24,1.7495468
25,2.1203308
26,2.219848
27,2.1543603
28,2.1709037
29,2.3020065
30,2.0268447
31,2.2776883
32,1.7223403
33,2.127716
34,2.0806522
35,1.9075909
36,1.2193156
37,2.7441707
38,2.0969164
39,1.1084508
40,2.048213
41,2.3359036
42,1.9139228
43,2.0767987
44,2.0674882
45,1.3724965
46,2.4422474
47,1.6732767
48,0.3841343
49,2.0022104
50,1.975161
51,2.3277073
52,2.1461716
53,1.8780597
54,1.5590394
55,1.7741802
56,2.572327
57,2.0774798
58,1.8705384
59,2.2474241
60,2.1730323
61,2.2595937
62,1.2143447
63,2.5171456
64,2.0589871
65,2.2605612
66,1.6687173
67,1.7747476
68,2.2004213
69,2.426313
70,2.3062181
71,2.3258667
72,1.8750408
73,0.6512543
74,2.1017787
75,2.0734246
76,2.1297388
77,2.2819452
78,2.312677
79,2.4559805
80,0.68035626
81,2.0350492
82,2.2184453
83,1.6326219
84,1.5362443
85,2.4031084
86,2.3089077
87,1.9701991
88,2.3404927
89,2.3743334
90,1.5154601
91,2.2546222
92,2.1717532
93,1.2402885
94,2.1989818
95,2.7457676
96,2.0296
97,2.2686727
98,1.9126143
99,2.2666597
100,1.9211948
101,2.1332076
102,2.1080887
103,2.1603196
104,2.3047926
105,2.29905
106,1.3367685
107,1.834757
108,2.118521
109,2.0437636
110,2.1705039
111,2.2586915
112,2.074557
113,2.3812134
114,2.2701077
115,2.0449343
116,1.3825916
117,1.7188636
118,2.338512
119,2.7626224
120,2.144578
121,2.602253
122,2.0689356
123,2.2993286
124,1.8163759
125,2.1126735
126,1.3810053
127,1.513277
128,2.1260405
129,1.4583217
130,1.9973211
131,2.2379596
132,1.5588188
133,2.4148407
134,2.0326462
135,1.9175415
136,2.174575
137,2.0484626
138,2.194917
139,1.9927075
140,1.8822532
141,2.4308822
142,2.0217
143,1.3976082
144,1.7818449
145,2.2391922
146,1.8225011
147,1.4858484
148,0.90513897
149,1.7641654
150,1.537754
151,1.6628655
152,1.7163763
153,2.028461
154,2.1226501
155,1.7688648
156,2.6897302
157,2.134599
158,2.3101306
159,1.6209825
160,2.129988
161,2.083714
162,1.8447173
163,2.3615313
164,2.350523
